???Seven Utilities and Power PCL (7UP) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.43,1.71,0.42,1.60,"185,818,494"
12/31/2020,0.51,0.51,0.27,0.43,???
12/31/2019,0.44,0.67,0.20,0.51,???
12/31/2018,0.57,0.77,0.41,0.44,???
12/29/2017,0.88,0.91,0.31,0.57,"16,741,725"
12/30/2016,0.98,1.22,0.40,0.88,"16,558,724"
12/31/2015,3.18,4.84,0.78,0.98,"23,571,647"
12/31/2014,2.42,5.47,1.82,3.18,"16,282,348"
12/31/2013,1.57,5.56,1.49,2.42,"63,074,239"
12/31/2012,1.15,2.36,1.05,1.57,"16,278,896"
12/30/2011,1.64,2.01,0.99,1.15,"21,416,749"
