???Areeya Property PCL (A) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,5.00,5.00,4.74,4.98,"6,406"
12/31/2020,6.15,6.20,4.50,5.00,???
12/31/2019,6.65,6.65,5.95,6.15,???
12/31/2018,6.60,6.75,6.45,6.65,???
12/29/2017,6.30,6.60,6.25,6.60,"65,942"
12/30/2016,6.05,6.50,6.00,6.30,"31,074"
12/31/2015,5.45,6.15,5.30,6.05,"49,180"
12/31/2014,5.00,5.70,4.94,5.45,"39,174"
12/31/2013,3.52,5.55,3.50,5.00,"131,010"
12/31/2012,2.98,3.55,2.84,3.52,"138,158"
12/30/2011,3.10,3.15,2.86,2.98,"155,457"
