???Asia Aviation PCL (AAV) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,2.36,2.98,2.20,2.84,"48,618,257"
12/31/2020,2.24,3.06,1.00,2.36,???
12/31/2019,4.20,4.76,2.08,2.24,???
12/31/2018,6.15,6.15,3.86,4.20,???
12/29/2017,6.05,6.85,5.85,6.15,"17,992,412"
12/30/2016,5.20,7.80,4.86,6.05,"57,674,044"
12/31/2015,4.30,5.85,3.90,5.20,"24,666,608"
12/31/2014,3.66,5.05,3.34,4.30,"26,890,540"
12/31/2013,4.84,7.90,3.58,3.66,"27,713,734"
12/31/2012,4.00,4.96,3.04,4.84,"67,288,320"
05/31/2012,4.00,4.00,3.70,3.70,"1,159,709,312"
