???Advanced Info Service PCL (ADVANC) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,176.00,185.00,164.00,172.50,"6,734,247"
12/31/2020,213.00,224.00,158.00,176.00,???
12/31/2019,172.50,240.00,166.00,213.00,???
12/31/2018,191.00,215.00,165.00,172.50,???
12/29/2017,147.00,201.00,147.00,191.00,"6,155,289"
12/30/2016,154.00,190.00,128.00,147.00,"10,375,351"
12/31/2015,251.00,257.00,151.00,154.00,"6,184,572"
12/31/2014,199.50,254.00,186.50,251.00,"6,352,436"
12/31/2013,209.00,311.00,194.00,199.50,"6,482,489"
12/31/2012,140.50,227.00,140.50,209.00,"4,935,245"
12/30/2011,85.50,147.50,77.00,140.50,"6,077,391"
