???Aeon Thana Sinsap (Thailand) PCL (AEONTS) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,203.00,244.00,188.50,202.00,"2,600,480"
12/31/2020,191.00,276.00,88.00,203.00,???
12/31/2019,182.00,238.00,160.50,191.00,???
12/31/2018,103.50,217.00,103.00,182.00,???
12/29/2017,103.50,117.00,96.00,103.50,"35,641"
12/30/2016,96.00,105.50,88.25,103.50,"36,538"
12/31/2015,108.50,119.50,80.25,96.00,"62,258"
12/31/2014,94.00,120.00,86.75,108.50,"53,824"
12/31/2013,93.00,123.00,63.75,94.00,"141,563"
12/31/2012,28.50,99.00,27.25,93.00,"238,157"
12/30/2011,32.50,39.00,27.75,28.50,"36,227"
