???Asia Fiber PCL (AFC) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,5.90,14.50,5.55,12.00,"57,472"
12/31/2020,6.50,6.70,5.15,5.90,"0,665"
12/31/2019,9.10,9.65,6.50,6.50,"4,072"
12/31/2018,9.00,12.20,8.30,9.10,"4,606"
12/29/2017,8.00,9.95,7.85,9.00,"32,131"
12/30/2016,8.85,10.70,6.60,8.00,"13,590"
12/31/2015,12.00,17.10,8.20,8.85,"57,483"
12/31/2014,7.30,18.50,6.75,12.00,"30,158"
12/31/2013,8.00,9.90,6.60,7.30,"9,618"
12/31/2012,8.30,9.00,6.20,8.00,"3,230"
12/30/2011,6.25,11.60,5.00,8.30,"9,970"
