???Asia Green Energy PCL (AGE) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,1.75,4.10,1.66,3.96,"15,922,445"
12/31/2020,1.78,2.08,0.94,1.75,???
12/31/2019,1.61,2.28,1.61,1.78,???
12/31/2018,3.19,3.32,1.59,1.61,???
12/29/2017,2.64,3.44,2.32,3.19,"2,427,838"
12/30/2016,2.18,3.12,1.89,2.64,"3,172,472"
12/31/2015,3.13,5.82,2.08,2.18,"4,657,967"
12/31/2014,3.14,4.54,2.80,3.13,"2,594,434"
12/31/2013,4.79,5.64,2.63,3.14,"4,230,353"
12/31/2012,6.39,7.38,4.15,4.79,"4,943,927"
12/30/2011,3.39,8.72,3.39,6.39,"14,837,927"
