???Asian Insulators PCL (AI) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,1.98,3.72,1.95,2.38,"43,470,010"
12/31/2020,1.05,2.30,0.71,1.98,???
12/31/2019,1.52,1.68,1.00,1.05,???
12/31/2018,1.52,1.52,1.52,1.52,"0,000"
12/29/2017,1.52,1.52,1.52,1.52,"0,000"
12/30/2016,1.52,1.52,1.52,1.52,"0,000"
12/31/2015,1.59,2.21,1.48,1.52,"2,456,850"
12/31/2014,2.57,3.07,1.46,1.59,"12,619,690"
12/31/2013,1.20,3.52,1.14,2.57,"33,240,067"
12/31/2012,0.51,1.39,0.50,1.20,"12,969,889"
12/30/2011,0.69,0.77,0.45,0.51,"5,465,056"
