???Advanced Information Technology PCL (AIT) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,17.80,22.70,17.50,22.00,"574,235"
12/31/2020,18.50,20.30,14.80,17.80,???
12/31/2019,19.70,24.20,17.80,18.50,???
12/31/2018,30.25,33.00,19.60,19.70,???
12/29/2017,24.70,30.50,24.60,30.25,"352,335"
12/30/2016,28.25,34.00,22.90,24.70,"334,627"
12/31/2015,38.00,42.50,23.50,28.25,"430,893"
12/31/2014,25.25,39.75,22.30,38.00,"770,990"
12/31/2013,22.01,41.60,21.64,25.25,"1,238,079"
12/31/2012,17.63,24.63,17.63,22.01,"811,837"
12/30/2011,16.70,19.87,14.46,17.63,"405,621"
