???Alucon PCL (ALUCON) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,170.00,196.00,164.00,178.00,"2,442"
12/31/2020,154.00,171.50,91.00,170.00,???
12/31/2019,174.50,179.00,120.00,154.00,???
12/31/2018,260.00,263.00,166.00,174.50,???
12/29/2017,260.00,319.00,259.00,260.00,"1,855"
12/30/2016,199.00,310.00,199.00,260.00,"0,579"
12/31/2015,195.00,250.00,175.00,199.00,"1,424"
12/31/2014,144.00,210.00,141.00,195.00,"1,580"
12/31/2013,130.50,171.00,128.00,144.00,"0,928"
12/31/2012,100.00,140.00,97.50,130.50,"1,257"
12/30/2011,139.00,140.00,98.00,100.00,"3,135"
