???Amanah Leasing PCL (AMANAH) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,3.94,7.60,3.86,5.55,"30,367,748"
12/31/2020,2.87,4.94,1.56,3.94,???
12/31/2019,1.16,3.49,1.15,2.87,???
12/31/2018,1.40,1.98,1.16,1.16,???
12/29/2017,0.76,2.23,0.76,1.40,"22,299,552"
12/30/2016,0.57,0.97,0.49,0.76,"1,248,731"
12/31/2015,0.72,1.09,0.54,0.57,"4,514,002"
12/31/2014,0.66,1.10,0.57,0.72,"5,442,525"
12/31/2013,0.77,1.02,0.60,0.66,"3,982,650"
12/31/2012,0.72,0.91,0.68,0.77,"2,483,998"
12/30/2011,0.85,1.02,0.66,0.72,"1,883,263"
