???Amata Corp PCL (AMATA) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,16.30,19.80,15.70,19.10,"15,308,139"
12/31/2020,19.94,20.43,8.08,16.30,???
12/31/2019,20.43,27.52,19.64,19.94,???
12/31/2018,25.79,28.76,17.95,20.43,???
12/29/2017,11.41,26.78,11.41,25.79,"11,077,168"
12/30/2016,12.20,13.99,10.12,11.41,"3,366,832"
12/31/2015,15.57,18.75,10.51,12.20,"3,588,431"
12/31/2014,13.69,18.05,11.41,15.57,"4,714,033"
12/31/2013,16.07,27.77,12.79,13.69,"7,324,298"
12/31/2012,12.50,18.15,12.50,16.07,"5,996,016"
12/30/2011,14.38,16.27,7.93,12.50,"6,559,785"
