???Airports Of Thailand PLC (AOT) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,62.25,70.00,59.00,64.75,"22,536,388"
12/31/2020,74.25,76.75,45.25,62.25,???
12/31/2019,64.25,81.75,62.75,74.25,???
12/31/2018,68.00,77.75,60.00,64.25,???
12/29/2017,39.80,70.00,37.25,68.00,"34,075,485"
12/30/2016,34.80,43.00,30.00,39.80,"31,752,550"
12/31/2015,28.20,35.30,25.20,34.80,"30,669,275"
12/31/2014,15.85,29.80,13.75,28.20,"38,572,714"
12/31/2013,9.73,22.50,9.30,15.85,"37,789,844"
12/31/2012,4.50,9.80,4.50,9.73,"31,658,485"
12/30/2011,3.95,5.05,3.28,4.50,"35,277,567"
