???Asia Precision PCL (APCS) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,5.20,5.70,4.56,5.30,"361,758"
12/31/2020,4.40,6.60,3.02,5.20,???
12/31/2019,4.78,5.00,3.00,4.40,???
12/31/2018,6.90,7.80,3.56,4.78,???
12/29/2017,5.55,9.40,5.20,6.90,"1,808,102"
12/30/2016,5.60,6.60,3.60,5.55,"793,534"
12/31/2015,1.24,7.30,1.23,5.60,"4,158,504"
12/31/2014,1.38,1.91,1.13,1.24,"1,938,059"
12/31/2013,2.59,3.21,1.21,1.38,"3,173,875"
12/31/2012,2.71,3.69,2.42,2.59,"6,930,769"
12/30/2011,2.81,3.22,1.90,2.71,"20,335,474"
09/29/2011,2.81,3.07,2.64,2.64,"359,907,639"
