???Agripure Holdings PCL (APURE) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,2.12,5.35,2.08,4.60,"16,854,894"
12/31/2020,0.78,2.56,0.45,2.12,???
12/31/2019,1.22,1.55,0.59,0.78,???
12/31/2018,1.89,2.04,1.19,1.22,???
12/29/2017,2.46,3.00,1.81,1.89,"8,688,314"
12/30/2016,1.52,2.84,1.33,2.46,"6,417,496"
12/31/2015,1.76,2.15,1.32,1.52,"6,449,202"
12/31/2014,1.12,2.44,1.01,1.76,"21,667,587"
12/31/2013,1.88,2.72,0.95,1.12,"27,870,682"
12/31/2012,0.78,2.33,0.76,1.88,"27,874,101"
12/30/2011,0.77,0.87,0.62,0.78,"3,494,496"
