???AQ Estate PCL (AQ) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.01,0.03,0.01,0.01,"88,706,662"
12/31/2020,0.01,0.03,0.01,0.01,???
12/31/2019,0.02,0.04,0.01,0.01,???
12/31/2018,0.04,0.05,0.02,0.02,???
12/29/2017,0.22,0.31,0.04,0.04,"31,486,805"
12/30/2016,0.22,0.22,0.22,0.22,"0,000"
12/31/2015,0.43,0.49,0.20,0.22,"117,810,402"
12/31/2014,0.32,0.60,0.26,0.43,"191,278,148"
12/31/2013,0.54,0.84,0.31,0.32,"99,906,647"
12/31/2012,0.47,1.44,0.37,0.54,"85,725,472"
12/30/2011,0.72,0.98,0.43,0.47,"8,214,872"
