???Aqua Corp PCL (AQUA) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.41,0.51,0.40,0.44,"47,498,960"
12/31/2020,0.41,0.48,0.30,0.41,???
12/31/2019,0.39,0.62,0.37,0.41,???
12/31/2018,0.68,0.68,0.38,0.39,???
12/29/2017,0.85,0.90,0.65,0.68,"19,687,609"
12/30/2016,0.73,1.02,0.66,0.85,"32,946,873"
12/31/2015,1.12,1.38,0.69,0.73,"15,810,088"
12/31/2014,1.05,1.93,0.78,1.12,"35,063,698"
12/31/2013,0.60,1.21,0.60,1.05,"15,826,326"
12/31/2012,0.42,0.65,0.35,0.60,"2,993,937"
12/30/2011,0.16,0.77,0.16,0.42,"16,805,486"
