???Asiasoft Corp PCL (AS) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,5.80,13.80,5.80,11.90,"14,629,763"
12/31/2020,1.26,6.85,0.78,5.80,???
12/31/2019,0.78,1.70,0.56,1.26,???
12/31/2018,1.79,1.96,0.56,0.78,???
12/29/2017,2.88,3.28,1.65,1.79,"4,095,887"
12/30/2016,3.36,3.46,1.45,2.88,"741,383"
12/31/2015,3.27,6.29,3.07,3.36,"447,199"
12/31/2014,7.58,7.58,2.84,3.27,"242,218"
12/31/2013,12.58,14.82,7.45,7.58,"392,832"
12/31/2012,10.51,15.51,10.43,12.58,"205,530"
12/30/2011,8.87,12.49,8.31,10.51,"272,203"
