???Asian Sea Corp PCL (ASIAN) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,6.53,19.00,6.40,15.40,"24,285,215"
12/31/2020,2.84,9.53,1.53,6.53,???
12/31/2019,4.57,6.03,2.71,2.84,???
12/31/2018,6.40,8.13,3.24,4.57,???
12/29/2017,2.00,11.27,1.94,6.40,"23,332,589"
12/30/2016,1.76,2.40,1.21,2.00,"1,664,379"
12/31/2015,1.24,2.18,1.17,1.76,"1,660,405"
12/31/2014,1.03,1.56,1.03,1.24,"976,482"
12/31/2013,1.63,1.75,0.92,1.03,"283,006"
12/31/2012,1.73,2.51,1.58,1.63,"3,428,005"
12/30/2011,1.57,1.95,1.43,1.73,"1,850,018"
