???Asian Marine Services PCL (ASIMAR) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,1.48,3.04,1.45,2.64,"4,378,506"
12/31/2020,1.20,1.60,0.57,1.48,???
12/31/2019,1.87,2.28,1.10,1.20,???
12/31/2018,2.94,3.38,1.85,1.87,???
12/29/2017,2.80,3.58,2.44,2.94,"2,413,042"
12/30/2016,3.40,5.45,2.20,2.80,"7,001,248"
12/31/2015,1.80,4.14,1.79,3.40,"14,357,981"
12/31/2014,1.64,2.30,1.49,1.80,"2,781,677"
12/31/2013,2.04,2.89,1.38,1.64,"3,727,380"
12/31/2012,1.40,2.18,1.31,2.04,"6,624,336"
12/30/2011,0.65,1.61,0.55,1.40,"14,977,319"
