???Asia Plus Group Holdings PCL (ASP) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,2.18,4.24,2.10,3.86,"24,167,617"
12/31/2020,1.74,2.34,1.11,2.18,???
12/31/2019,3.06,3.42,1.53,1.74,???
12/31/2018,4.00,4.34,3.04,3.06,???
12/29/2017,3.64,4.78,3.44,4.00,"3,668,138"
12/30/2016,3.50,3.72,3.12,3.64,"3,467,399"
12/31/2015,4.08,4.68,3.28,3.50,"5,192,374"
12/31/2014,3.46,4.42,2.98,4.08,"8,193,468"
12/31/2013,2.54,5.55,2.54,3.46,"21,680,241"
12/31/2012,1.99,2.68,1.99,2.54,"9,452,768"
12/30/2011,2.82,3.16,1.52,1.99,"10,131,974"
