???Union Auction PCL (AUCT) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,9.90,12.20,9.20,10.60,"6,225,229"
12/31/2020,7.10,15.30,4.12,9.90,???
12/31/2019,5.00,9.95,4.98,7.10,???
12/31/2018,5.70,7.60,4.94,5.00,???
12/29/2017,10.50,10.90,5.50,5.70,"2,523,191"
12/30/2016,10.80,11.40,6.10,10.50,"5,987,381"
12/31/2015,13.00,20.00,8.55,10.80,"3,473,535"
12/31/2014,2.36,20.20,2.32,13.00,"6,688,594"
12/31/2013,3.92,3.96,1.39,2.36,"23,775,421"
08/09/2013,3.92,3.96,2.66,2.88,"507,144,900"
