???Allianz Ayudhya Capital PLC (AYUD) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,33.75,39.50,31.00,36.00,"13,718"
12/31/2020,39.00,40.25,27.00,33.75,???
12/31/2019,40.00,49.25,37.00,39.00,???
12/31/2018,33.00,55.00,32.75,40.00,???
12/29/2017,33.00,47.50,29.00,33.00,"101,765"
12/30/2016,35.50,35.75,29.75,33.00,"30,261"
12/31/2015,34.00,40.00,33.25,35.50,"60,974"
12/31/2014,23.50,44.50,22.00,34.00,"95,878"
12/31/2013,24.40,33.50,22.10,23.50,"58,300"
12/31/2012,17.40,26.75,17.20,24.40,"64,159"
12/30/2011,18.80,20.60,15.90,17.40,"21,188"
