???B-52 Capital PCL (B52) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.33,0.74,0.24,0.68,"11,181,905"
12/31/2020,0.19,0.41,0.12,0.33,???
12/31/2019,0.20,0.43,0.15,0.19,???
12/31/2018,0.70,0.70,0.18,0.20,???
12/29/2017,1.64,1.83,0.54,0.70,"6,812,621"
12/30/2016,2.27,3.33,1.40,1.64,"6,646,552"
12/31/2015,7.76,10.27,1.98,2.27,"4,943,779"
12/31/2014,0.28,14.27,0.19,7.76,"8,462,750"
12/31/2013,0.06,0.28,0.05,0.28,"304,221"
12/31/2012,0.08,0.10,0.05,0.06,"28,421"
12/30/2011,0.05,0.08,0.03,0.08,"69,138"
