???Bangkok Aviation Fuel Services PCL (BAFS) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,23.80,29.50,23.00,27.00,"501,014"
12/31/2020,30.00,30.75,17.10,23.80,???
12/31/2019,32.75,37.75,27.00,30.00,???
12/31/2018,46.75,47.50,31.00,32.75,???
12/29/2017,36.25,50.50,36.00,46.75,"238,794"
12/30/2016,29.50,39.75,27.50,36.25,"243,824"
12/31/2015,25.00,29.50,24.20,29.50,"144,647"
12/31/2014,22.00,31.60,19.84,25.00,"156,412"
12/31/2013,16.48,23.60,15.60,22.00,"263,214"
12/31/2012,9.12,16.48,8.96,16.48,"386,726"
12/30/2011,8.64,10.48,7.60,9.12,"317,455"
