???Bank Of Ayudhya PCL (BAY) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,31.25,39.50,29.50,33.75,"2,239,524"
12/31/2020,30.00,40.75,17.70,31.25,???
12/31/2019,38.25,40.50,29.00,30.00,???
12/31/2018,39.75,51.00,37.75,38.25,???
12/29/2017,40.00,40.50,35.50,39.75,"367,877"
12/30/2016,30.25,42.00,27.50,40.00,"877,036"
12/31/2015,44.75,104.00,29.25,30.25,"2,029,492"
12/31/2014,30.50,54.25,29.75,44.75,"546,114"
12/31/2013,32.50,38.75,27.50,30.50,"17,597,720"
12/31/2012,22.00,37.00,19.80,32.50,"13,222,115"
12/30/2011,25.75,30.50,17.80,22.00,"15,442,223"
