???Bangkok Bank PCL (BBL) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,118.50,131.00,111.50,117.50,"12,007,095"
12/31/2020,160.00,163.50,88.00,118.50,???
12/31/2019,203.00,216.00,151.50,160.00,???
12/31/2018,202.00,218.00,184.50,203.00,???
12/29/2017,159.50,207.00,159.50,202.00,"3,303,384"
12/30/2016,153.50,182.00,142.50,159.50,"4,682,797"
12/31/2015,194.00,197.00,144.00,153.50,"4,093,974"
12/31/2014,178.00,216.00,165.00,194.00,"5,498,832"
12/31/2013,195.50,237.00,174.00,178.00,"4,553,287"
12/31/2012,153.50,203.00,146.00,195.50,"5,043,657"
12/30/2011,149.50,184.00,123.50,153.50,"7,433,644"
