???Bangkok Expressway and Metro PCL (BEM) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,8.30,8.85,7.40,8.20,"48,211,277"
12/31/2020,10.90,11.40,6.10,8.30,???
12/31/2019,9.70,12.00,9.70,10.90,???
12/31/2018,7.70,10.40,7.00,9.70,???
12/29/2017,7.45,8.25,6.95,7.70,"47,557,495"
12/30/2016,5.28,8.90,4.90,7.45,"129,677,804"
12/30/2015,4.76,5.66,3.97,5.28,"45,179,292"
12/31/2014,2.40,4.99,2.09,4.76,"69,566,273"
12/31/2013,1.64,4.09,1.62,2.40,"36,273,451"
12/31/2012,1.39,1.76,1.36,1.64,"3,107,473"
12/30/2011,1.69,1.87,1.13,1.39,"2,128,528"
