???Srisawad Finance PCL (BFIT) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,29.50,55.75,28.00,40.00,"6,234,332"
12/31/2020,31.75,49.00,21.60,29.50,???
12/31/2019,16.90,39.25,14.50,31.75,???
12/31/2018,36.90,42.14,16.40,16.90,???
12/29/2017,11.61,42.14,10.79,36.90,"1,326,571"
12/30/2016,5.53,11.97,5.08,11.61,"1,054,091"
12/31/2015,5.08,6.12,4.72,5.53,"148,579"
12/31/2014,4.54,7.21,4.44,5.08,"385,959"
12/31/2013,5.58,6.98,4.35,4.54,"334,227"
12/31/2012,6.17,6.71,4.72,5.58,"278,327"
12/30/2011,4.24,7.57,4.21,6.17,"979,733"
