???Berli Jucker PCL (BJC) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,34.75,40.75,32.00,34.75,"5,975,874"
12/31/2020,42.00,45.50,25.00,34.75,???
12/31/2019,50.75,56.50,39.75,42.00,???
12/31/2018,66.00,66.00,49.25,50.75,???
12/29/2017,50.25,66.00,41.75,66.00,"5,772,989"
12/30/2016,32.25,56.25,29.06,50.25,"7,963,766"
12/31/2015,38.29,38.99,26.53,32.25,"565,506"
12/31/2014,44.78,55.82,32.99,38.29,"1,358,052"
12/31/2013,57.31,85.59,31.37,44.78,"5,283,150"
12/31/2012,27.15,69.21,26.53,57.31,"4,935,272"
12/30/2011,17.16,27.00,14.58,27.00,"3,495,351"
