???Bangkok Life Assurance PCL (BLA) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,21.00,33.25,20.60,31.50,"4,450,236"
12/31/2020,20.70,23.80,10.40,21.00,???
12/31/2019,26.25,30.25,17.10,20.70,???
12/31/2018,35.25,38.50,26.25,26.25,???
12/29/2017,53.00,53.50,33.50,35.25,"2,260,987"
12/30/2016,54.75,55.75,35.25,53.00,"2,380,203"
12/31/2015,46.00,56.25,44.00,54.75,"977,950"
12/31/2014,48.57,68.21,43.39,46.00,"1,249,354"
12/31/2013,44.46,56.61,38.21,48.57,"1,506,884"
12/31/2012,33.04,44.64,29.64,44.46,"2,556,336"
12/30/2011,21.96,42.50,19.82,33.04,"2,810,167"
