???Bangkok Land PCL (BLAND) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,1.17,1.24,0.97,1.13,"54,977,583"
12/31/2020,1.33,1.40,0.69,1.17,???
12/31/2019,1.51,1.77,1.27,1.33,???
12/31/2018,1.79,2.02,1.49,1.51,???
12/29/2017,1.72,1.98,1.72,1.79,"59,671,984"
12/30/2016,1.45,1.85,1.38,1.72,"84,048,374"
12/31/2015,1.58,1.89,1.34,1.45,"48,215,423"
12/31/2014,1.54,2.32,1.33,1.58,"239,952,229"
12/31/2013,1.23,2.30,1.23,1.54,"381,242,180"
12/31/2012,0.71,1.46,0.64,1.23,"188,255,611"
12/30/2011,0.74,0.85,0.46,0.71,"78,132,473"
