???Business Online PCL (BOL) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,6.60,10.60,6.30,9.80,"1,965,843"
12/31/2020,2.92,7.05,2.30,6.60,???
12/31/2019,2.02,3.54,1.98,2.92,???
12/31/2018,2.04,2.26,1.43,2.02,???
12/29/2017,1.70,2.68,1.70,2.04,"4,414,171"
12/30/2016,1.76,2.02,1.51,1.70,"156,553"
12/31/2015,2.02,2.84,1.51,1.76,"849,499"
12/31/2014,1.56,2.74,1.49,2.02,"1,011,140"
12/31/2013,2.40,2.50,1.19,1.56,"470,058"
12/31/2012,1.24,3.02,1.23,2.40,"995,591"
12/30/2011,1.33,1.46,1.10,1.24,"220,394"
