???Buildersmart PCL (BSM) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.26,0.52,0.24,0.43,"9,873,370"
12/31/2020,0.36,0.36,0.21,0.26,???
12/31/2019,0.53,0.70,0.33,0.36,???
12/31/2018,0.76,0.85,0.46,0.53,???
12/29/2017,0.40,0.87,0.38,0.76,"6,558,474"
12/30/2016,0.62,0.64,0.27,0.40,"6,144,890"
12/31/2015,1.07,1.37,0.52,0.62,"14,531,540"
12/31/2014,0.27,1.87,0.22,1.07,"32,289,775"
12/31/2013,0.35,0.42,0.18,0.27,"11,196,470"
12/31/2012,0.08,0.38,0.08,0.35,"16,436,950"
12/30/2011,0.08,0.10,0.07,0.08,"7,800,673"
