???BTS Group Holdings PLC (BTS) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,9.30,10.10,8.40,9.55,"99,681,800"
12/31/2020,13.20,13.90,8.00,9.30,???
12/31/2019,9.55,14.40,9.40,13.20,???
12/31/2018,8.30,9.90,7.75,9.55,???
12/29/2017,8.55,8.95,8.20,8.30,"28,209,600"
12/30/2016,9.05,9.80,7.60,8.55,"17,088,300"
12/31/2015,9.65,10.40,8.65,9.05,"0,000"
12/31/2014,8.70,10.60,7.65,9.65,"0,000"
12/31/2013,7.15,9.65,6.95,8.70,"0,000"
12/31/2012,4.38,7.20,4.25,7.15,"0,000"
12/30/2011,5.19,5.63,3.19,4.38,"51,416,736"
