???Bangkok Union Insurance PCL (BUI) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,10.60,16.40,9.00,14.80,"11,341"
12/31/2020,12.00,13.60,6.50,10.60,"2,787"
12/31/2019,13.47,16.00,11.70,12.00,"8,650"
12/31/2018,13.47,13.47,13.47,13.47,"0,000"
12/29/2017,13.47,13.47,13.47,13.47,"0,000"
12/30/2016,13.47,13.47,13.47,13.47,"0,000"
12/31/2015,13.47,17.33,12.80,13.47,"3,314"
12/31/2014,10.73,17.67,9.40,13.47,"9,206"
12/31/2013,10.73,13.27,9.07,10.73,"7,602"
12/31/2012,10.67,13.53,8.80,10.73,"5,308"
12/30/2011,10.80,12.67,10.00,10.67,"3,172"
