???Cal-Comp Electronics (Thailand) PCL (CCET) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,1.99,3.90,1.99,3.22,"18,657,738"
12/31/2020,1.72,2.49,1.15,1.99,???
12/31/2019,1.63,1.81,1.45,1.72,???
12/31/2018,2.75,2.77,1.60,1.63,???
12/29/2017,2.49,3.53,2.49,2.75,"4,056,086"
12/30/2016,3.06,3.32,2.14,2.49,"2,555,524"
12/31/2015,2.47,3.97,2.44,3.06,"6,116,108"
12/31/2014,2.51,2.91,2.19,2.47,"3,701,603"
12/31/2013,2.73,4.06,2.09,2.51,"17,201,839"
12/31/2012,2.17,2.82,2.02,2.73,"3,125,040"
12/30/2011,2.94,3.12,1.70,2.17,"2,019,248"
