???Chonburi Concrete Product PCL (CCP) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.43,0.82,0.43,0.67,"35,438,970"
12/31/2020,0.29,0.57,0.16,0.43,???
12/31/2019,0.33,0.41,0.28,0.29,???
12/31/2018,0.52,0.54,0.31,0.33,???
12/29/2017,0.58,0.76,0.50,0.52,"3,837,156"
12/30/2016,0.78,0.92,0.47,0.58,"6,700,429"
12/31/2015,1.30,1.70,0.70,0.78,"12,718,884"
12/31/2014,0.99,1.79,0.76,1.30,"27,606,567"
12/31/2013,1.17,2.14,0.99,0.99,"42,695,872"
12/31/2012,0.47,1.31,0.43,1.17,"22,931,442"
12/30/2011,0.46,0.56,0.29,0.47,"22,256,907"
