???Capital Engineering Network PCL (CEN) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.60,2.24,0.55,2.04,"6,655,670"
12/31/2020,0.60,0.97,0.29,0.60,???
12/31/2019,1.05,1.14,0.59,0.60,???
12/31/2018,1.51,1.60,1.04,1.05,???
12/29/2017,2.12,2.24,1.50,1.51,"868,578"
12/30/2016,2.12,2.50,1.61,2.12,"2,898,427"
12/31/2015,4.46,5.30,1.95,2.12,"9,166,085"
12/31/2014,3.08,5.40,2.68,4.46,"5,174,850"
12/31/2013,2.82,6.35,2.82,3.08,"11,345,086"
12/31/2012,2.40,2.88,2.02,2.82,"2,182,465"
12/30/2011,5.05,5.45,2.14,2.40,"2,645,710"
