???Seafresh Industry PCL (CFRESH) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,1.71,3.06,1.67,2.18,"7,228,891"
12/31/2020,0.98,3.44,0.42,1.71,???
12/31/2019,2.64,2.96,0.96,0.98,???
12/31/2018,4.12,4.18,2.59,2.64,???
12/29/2017,5.12,5.70,4.12,4.12,"855,121"
12/30/2016,5.02,5.86,4.60,5.12,"387,486"
12/31/2015,5.44,6.08,4.57,5.02,"341,305"
12/31/2014,4.99,6.69,4.31,5.44,"1,179,882"
12/31/2013,6.44,8.11,4.12,4.99,"1,902,769"
12/31/2012,2.90,6.69,2.90,6.44,"7,333,133"
12/30/2011,3.14,3.31,2.48,2.90,"954,262"
