???Country Group Development PCL (CGD) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.61,0.96,0.54,0.80,"42,233,452"
12/31/2020,0.88,0.91,0.55,0.61,???
12/31/2019,1.34,1.40,0.83,0.88,???
12/31/2018,1.40,1.79,1.24,1.34,???
12/29/2017,0.99,1.49,0.98,1.40,"6,860,895"
12/30/2016,1.14,1.36,0.79,0.99,"6,062,604"
12/31/2015,2.10,2.38,1.06,1.14,"23,532,955"
12/31/2014,1.09,3.52,0.98,2.10,"102,548,182"
12/31/2013,0.57,1.92,0.53,1.09,"61,388,871"
12/31/2012,0.50,0.63,0.44,0.57,"5,228,962"
12/30/2011,0.71,0.75,0.38,0.50,"5,876,885"
