???Country Group Holdings PCL (CGH) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.69,1.31,0.65,1.15,"26,972,682"
12/31/2020,0.83,0.85,0.63,0.69,???
12/31/2019,0.96,1.08,0.78,0.83,???
12/31/2018,1.35,1.42,0.86,0.96,???
12/29/2017,1.61,1.72,1.34,1.35,"997,654"
12/30/2016,1.24,1.97,1.20,1.61,"3,669,617"
12/31/2015,1.22,1.96,1.14,1.24,"6,912,596"
12/31/2014,1.07,2.25,0.94,1.22,"14,512,942"
12/31/2013,0.82,2.04,0.82,1.07,"44,044,031"
12/31/2012,0.78,0.96,0.70,0.82,"8,842,321"
12/30/2011,0.77,0.87,0.61,0.78,"8,030,970"
