???City Steel PCL (CITY) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,1.82,3.34,1.76,2.38,"765,834"
12/31/2020,2.02,2.06,0.99,1.82,???
12/31/2019,2.32,2.36,1.86,2.02,???
12/31/2018,3.02,3.14,2.24,2.32,???
12/29/2017,3.20,3.82,2.94,3.02,"947,697"
12/30/2016,3.40,3.76,2.78,3.20,"366,334"
12/31/2015,4.16,5.15,3.34,3.40,"301,089"
12/31/2014,2.72,5.80,2.50,4.16,"1,114,672"
12/31/2013,3.20,5.50,2.56,2.72,"706,147"
12/31/2012,1.91,3.60,1.91,3.20,"956,361"
12/30/2011,1.91,2.16,1.70,1.91,"690,641"
