???CMO PCL (CMO) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.88,1.60,0.83,1.46,"3,686,517"
12/31/2020,1.25,1.26,0.65,0.88,???
12/31/2019,1.22,1.77,0.84,1.25,???
12/31/2018,2.14,2.16,1.22,1.22,???
12/29/2017,1.82,2.50,1.63,2.14,"3,593,486"
12/30/2016,1.68,2.52,1.50,1.82,"2,482,029"
12/31/2015,1.76,3.20,1.57,1.68,"2,002,350"
12/31/2014,1.78,3.56,1.61,1.76,"1,617,827"
12/31/2013,3.32,4.78,1.36,1.78,"2,089,979"
12/31/2012,1.37,4.24,1.25,3.32,"3,896,201"
12/30/2011,1.14,1.95,1.02,1.37,"5,062,992"
