???Salee Colour PLC (COLOR) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,1.15,2.14,1.12,2.02,"2,379,550"
12/31/2020,1.06,1.40,0.78,1.15,???
12/31/2019,1.30,1.44,1.03,1.06,???
12/31/2018,1.25,1.60,1.03,1.30,???
12/29/2017,1.46,1.84,1.20,1.25,"892,527"
12/30/2016,1.34,1.66,1.13,1.46,"896,356"
12/31/2015,1.20,1.80,1.16,1.34,"5,782,015"
12/31/2014,1.48,1.69,1.08,1.20,"6,212,974"
12/31/2013,1.61,2.16,1.39,1.48,"568,456"
12/31/2012,1.69,2.17,1.46,1.61,"1,365,120"
12/30/2011,3.84,4.38,1.30,1.69,"9,247,024"
06/14/2011,3.84,4.38,3.62,3.62,"287,306,354"
