???CP All PCL (CPALL) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,58.25,70.25,56.25,60.00,"30,941,409"
12/31/2020,72.25,76.00,53.50,58.25,???
12/31/2019,68.75,88.25,68.75,72.25,???
12/31/2018,77.00,90.00,61.50,68.75,???
12/29/2017,62.50,78.25,57.50,77.00,"15,641,729"
12/30/2016,39.25,64.00,39.00,62.50,"22,356,992"
12/31/2015,42.50,51.75,37.50,39.25,"15,996,296"
12/31/2014,42.00,48.25,38.00,42.50,"13,193,774"
12/31/2013,46.00,52.00,32.00,42.00,"31,678,347"
12/31/2012,25.88,47.25,25.88,46.00,"20,215,792"
12/30/2011,19.88,26.75,16.00,25.88,"18,076,407"
