???Charoen Pokphand Foods PCL (CPF) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,26.75,31.25,26.25,27.00,"45,466,606"
12/31/2020,27.50,35.25,18.70,26.75,???
12/31/2019,24.60,30.50,24.00,27.50,???
12/31/2018,24.00,27.50,22.50,24.60,???
12/29/2017,29.50,30.75,23.20,24.00,"28,551,398"
12/30/2016,18.30,33.50,17.20,29.50,"29,991,138"
12/31/2015,27.25,27.75,16.40,18.30,"23,095,308"
12/31/2014,32.00,33.25,23.50,27.25,"20,883,501"
12/31/2013,33.75,36.75,21.60,32.00,"20,189,280"
12/31/2012,33.00,42.25,31.00,33.75,"25,705,220"
12/30/2011,24.90,34.25,21.10,33.00,"29,863,251"
