???Chumporn Palm Oil Industry PCL (CPI) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,1.80,3.58,1.78,3.28,"2,893,276"
12/31/2020,1.62,1.93,0.99,1.80,???
12/31/2019,1.49,1.66,1.35,1.62,???
12/31/2018,1.92,2.54,1.42,1.49,???
12/29/2017,2.70,2.82,1.88,1.92,"1,322,909"
12/30/2016,1.70,2.78,1.49,2.70,"1,479,346"
12/31/2015,2.44,2.96,1.68,1.70,"879,082"
12/31/2014,2.22,2.98,2.10,2.44,"1,345,080"
12/31/2013,3.20,4.60,2.00,2.22,"815,078"
12/31/2012,2.25,3.52,2.07,3.20,"1,327,176"
12/30/2011,2.32,2.55,1.90,2.25,"237,126"
