???Central Pattana PCL (CPN) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,47.75,60.25,46.25,55.50,"11,580,944"
12/31/2020,62.25,64.75,33.25,47.75,???
12/31/2019,74.75,81.25,58.50,62.25,???
12/31/2018,85.25,87.25,68.25,74.75,???
12/29/2017,56.75,87.00,53.75,85.25,"5,186,473"
12/30/2016,46.00,61.75,43.00,56.75,"6,595,059"
12/31/2015,45.50,49.25,39.75,46.00,"4,611,438"
12/31/2014,41.00,50.25,36.25,45.50,"4,539,343"
12/31/2013,40.88,59.25,35.50,41.00,"6,329,582"
12/31/2012,18.88,41.50,18.75,40.88,"5,209,839"
12/30/2011,13.50,20.25,12.63,18.88,"5,482,448"
