???CPN Retail Growth Leasehold REIT (CPNREIT) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,19.00,23.00,18.10,20.50,"1,900,000"
12/31/2020,32.75,36.50,16.80,19.00,???
12/31/2019,25.50,37.25,25.00,32.75,???
12/31/2018,22.20,27.50,22.00,25.50,???
12/29/2017,19.70,22.70,17.00,22.20,"1,165,375"
12/30/2016,17.10,21.10,17.00,19.50,"1,428,246"
12/30/2015,16.00,17.80,15.90,17.10,"1,144,951"
12/30/2014,15.60,17.60,14.70,16.10,"1,006,196"
12/27/2013,19.00,20.20,14.50,15.70,"1,185,063"
12/28/2012,12.80,19.10,12.70,19.00,"1,029,731"
12/30/2011,11.90,13.70,11.40,12.80,"1,254,027"
