???CPR Gomu Industrial PCL (CPR) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,2.64,4.30,2.58,4.12,"340,845"
12/31/2020,3.34,3.56,2.00,2.64,???
12/31/2019,5.30,6.75,3.16,3.34,???
12/31/2018,5.10,6.80,4.34,5.30,???
12/29/2017,6.75,8.95,5.10,5.10,"2,750,373"
12/30/2016,7.30,8.20,4.30,6.75,"4,400,852"
12/31/2015,2.88,10.80,2.78,7.30,"13,843,868"
12/31/2014,2.78,3.50,2.20,2.88,"353,931"
12/31/2013,3.10,4.10,2.20,2.78,"155,397"
12/31/2012,2.12,3.48,1.99,3.10,"171,414"
12/30/2011,2.54,2.98,1.59,2.12,"155,845"
