???Chu Kai PCL (CRANE) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,1.43,2.06,1.37,2.00,"13,052,072"
12/31/2020,1.81,3.08,1.12,1.43,???
12/31/2019,2.04,2.72,1.71,1.81,???
12/31/2018,3.54,3.86,1.95,2.04,???
12/29/2017,2.68,4.26,1.97,3.54,"4,274,785"
12/30/2016,2.38,4.89,1.96,2.68,"3,566,816"
12/31/2015,3.66,5.87,2.26,2.38,"5,365,843"
12/31/2014,3.20,5.31,2.63,3.66,"1,292,975"
12/31/2013,3.08,7.60,2.95,3.20,"3,700,862"
12/31/2012,1.93,3.18,1.90,3.08,"997,553"
12/30/2011,1.23,2.27,1.23,1.93,"2,365,443"
