???CSP Steel Center PCL (CSP) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.61,3.06,0.59,2.16,"1,782,660"
12/31/2020,0.78,0.78,0.42,0.61,???
12/31/2019,1.08,1.36,0.70,0.78,???
12/31/2018,1.66,1.81,1.01,1.08,???
12/29/2017,2.24,3.62,1.66,1.66,"3,990,036"
12/30/2016,1.71,2.38,1.55,2.24,"553,625"
12/31/2015,3.84,4.36,1.43,1.71,"301,268"
12/31/2014,2.34,5.10,2.10,3.84,"1,364,529"
12/31/2013,2.04,4.32,2.00,2.34,"865,719"
12/31/2012,2.04,2.28,1.87,2.04,"54,408"
12/30/2011,2.12,2.36,1.80,2.04,"140,978"
