???City Sports And Recreation PCL (CSR) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,64.00,65.25,58.00,61.25,"0,112"
12/31/2020,79.25,79.75,60.00,64.00,"0,253"
12/31/2019,88.75,88.75,64.00,79.25,"0,080"
12/31/2018,66.00,103.00,61.00,88.75,"0,112"
12/29/2017,60.25,78.00,44.75,66.00,"0,572"
12/30/2016,61.00,64.00,57.25,60.25,"0,321"
12/31/2015,57.50,68.00,53.00,61.00,"0,290"
12/31/2014,53.50,59.75,49.00,57.50,"0,429"
12/31/2013,48.00,60.50,43.00,53.50,"0,809"
12/31/2012,44.00,68.00,37.00,48.00,"1,044"
12/30/2011,48.75,50.00,40.50,44.00,"0,481"
