???Communication and System Solution PCL (CSS) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,1.47,2.70,1.46,2.06,"23,528,224"
12/31/2020,1.43,1.73,0.60,1.47,???
12/31/2019,1.88,2.16,1.00,1.43,???
12/31/2018,2.80,2.98,1.86,1.88,???
12/29/2017,2.78,3.68,2.76,2.80,"6,404,972"
12/30/2016,4.76,4.78,2.00,2.78,"9,442,300"
12/31/2015,5.46,8.25,3.58,4.76,"21,593,650"
12/31/2014,1.97,7.21,1.62,5.46,"21,556,952"
12/31/2013,2.67,3.08,1.70,1.97,"71,216,077"
09/03/2013,2.67,2.70,1.70,1.77,"481,320,720"
