???Dcon Products PCL (DCON) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.30,0.64,0.30,0.60,"46,280,827"
12/31/2020,0.34,0.39,0.23,0.30,???
12/31/2019,0.50,0.54,0.32,0.34,???
12/31/2018,0.58,0.74,0.49,0.50,???
12/29/2017,0.61,0.67,0.54,0.58,"5,859,289"
12/30/2016,0.69,0.80,0.50,0.61,"22,535,474"
12/31/2015,1.31,2.00,0.65,0.69,"39,828,807"
12/31/2014,0.78,1.37,0.70,1.31,"9,838,606"
12/31/2013,0.55,0.96,0.55,0.78,"6,833,914"
12/31/2012,0.26,0.59,0.25,0.55,"6,463,720"
12/30/2011,0.22,0.30,0.21,0.26,"6,572,983"
