???Delta Electronics (Thailand) PCL (DELTA) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,486.00,804.00,286.00,572.00,"3,952,976"
12/31/2020,53.50,838.00,27.00,486.00,???
12/31/2019,69.50,80.00,42.00,53.50,???
12/31/2018,73.25,78.25,55.50,69.50,???
12/29/2017,81.50,100.00,70.00,73.25,"1,195,135"
12/30/2016,77.75,91.00,60.00,81.50,"1,643,845"
12/31/2015,70.50,98.00,66.25,77.75,"1,304,515"
12/31/2014,53.50,80.00,48.50,70.50,"1,554,792"
12/31/2013,32.00,54.25,30.50,53.50,"1,791,232"
12/31/2012,21.70,33.00,20.10,32.00,"996,232"
12/30/2011,34.75,36.00,17.80,21.70,"1,338,747"
