???Demco PCL (DEMCO) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,3.30,5.30,3.16,4.90,"6,742,652"
12/31/2020,2.68,3.66,1.17,3.30,???
12/31/2019,2.82,3.84,2.56,2.68,???
12/31/2018,6.00,6.35,2.44,2.82,???
12/29/2017,8.40,9.30,5.60,6.00,"2,363,114"
12/30/2016,7.05,8.80,5.25,8.40,"4,282,275"
12/31/2015,12.80,16.00,6.70,7.05,"7,027,936"
12/31/2014,7.25,18.30,6.40,12.80,"19,763,766"
12/31/2013,6.96,18.48,6.15,7.25,"18,594,701"
12/31/2012,3.22,9.00,3.16,6.96,"5,103,217"
12/30/2011,4.97,5.21,2.86,3.22,"1,158,535"
