???Dusit Thani Freehold and Leasehold REIT (DREIT) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,4.28,5.05,3.86,5.05,"150,080"
12/31/2020,6.40,6.65,3.22,4.28,???
12/31/2019,5.00,6.90,4.96,6.40,???
12/31/2018,6.00,6.70,4.22,5.00,???
12/29/2017,8.20,8.25,5.85,6.00,"111,304"
12/30/2016,9.00,9.50,8.10,8.20,"108,186"
12/30/2015,8.55,9.05,8.00,8.95,"187,828"
12/30/2014,9.45,9.75,8.25,8.55,"126,075"
12/27/2013,11.80,13.50,9.45,9.55,"64,259"
12/28/2012,9.20,12.00,9.20,11.80,"236,067"
12/30/2011,15.00,15.00,8.00,9.20,"59,340"
