???Diamond Building Products PCL (DRT) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,5.85,7.95,5.75,7.75,"1,371,617"
12/31/2020,6.25,6.85,4.06,5.85,???
12/31/2019,5.30,6.40,5.30,6.25,???
12/31/2018,5.70,6.10,5.25,5.30,???
12/29/2017,5.20,6.60,5.10,5.70,"1,049,905"
12/30/2016,4.08,5.40,3.88,5.20,"415,621"
12/31/2015,5.10,5.70,4.04,4.08,"321,682"
12/31/2014,7.90,7.90,4.80,5.10,"1,469,656"
12/31/2013,7.35,10.80,7.20,7.90,"1,587,661"
12/31/2012,5.75,8.20,5.65,7.35,"779,804"
12/30/2011,6.25,6.90,5.15,5.75,"1,970,489"
