???Dusit Thani PCL (DTC) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,7.75,8.80,7.30,8.25,"162,788"
12/31/2020,9.70,9.75,6.15,7.75,???
12/31/2019,9.60,11.70,9.35,9.70,???
12/31/2018,10.50,18.10,9.40,9.60,???
12/29/2017,9.05,13.00,8.40,10.50,"377,220"
12/30/2016,6.90,13.10,6.40,9.05,"271,708"
12/31/2015,5.95,7.05,5.00,6.90,"114,649"
12/31/2014,5.75,6.55,5.00,5.95,"54,363"
12/31/2013,4.68,7.40,4.45,5.75,"197,519"
12/31/2012,3.65,5.10,3.25,4.68,"289,622"
12/30/2011,3.48,4.00,3.00,3.65,"118,819"
