???Eason & Co PCL (EASON) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,1.33,2.08,1.05,1.88,"1,472,103"
12/31/2020,1.53,1.55,0.68,1.33,???
12/31/2019,2.16,2.38,1.43,1.53,???
12/31/2018,4.02,4.06,2.10,2.16,???
12/29/2017,4.14,4.80,3.42,4.02,"3,217,334"
12/30/2016,2.26,5.40,1.87,4.14,"4,351,334"
12/31/2015,2.17,3.05,1.93,2.26,"612,304"
12/31/2014,2.54,2.87,2.10,2.17,"165,716"
12/31/2013,2.35,4.46,2.29,2.54,"995,887"
12/31/2012,1.21,2.44,1.21,2.35,"2,523,969"
12/30/2011,1.43,1.49,1.11,1.21,"839,509"
