???Eternal Energy PCL (EE) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.63,0.98,0.60,0.91,"29,232,744"
12/31/2020,0.58,0.76,0.27,0.63,???
12/31/2019,0.62,0.68,0.46,0.58,???
12/31/2018,0.88,0.93,0.58,0.62,???
12/29/2017,1.10,1.48,0.84,0.88,"15,601,302"
12/30/2016,1.01,1.33,0.82,1.10,"13,140,515"
12/31/2015,1.39,1.63,0.90,1.01,"10,004,148"
12/31/2014,0.75,1.94,0.54,1.39,"37,030,329"
12/31/2013,1.21,1.71,0.66,0.75,"14,778,149"
12/31/2012,0.66,1.28,0.56,1.21,"15,149,227"
12/30/2011,1.32,1.37,0.42,0.66,"4,442,050"
