???E For L Aim PCL (EFORL) Historical Prices
Date,Open,High,Low,Close,Volume
06/08/2021,0.06,0.16,0.04,0.16,"116,408,971"
12/31/2020,0.04,0.08,0.02,0.06,???
12/31/2019,0.06,0.07,0.03,0.04,???
12/31/2018,0.07,0.14,0.03,0.06,???
12/29/2017,0.27,0.32,0.07,0.07,"42,923,465"
12/30/2016,0.78,0.78,0.21,0.27,"72,569,339"
12/31/2015,1.42,1.62,0.69,0.78,"62,864,708"
12/31/2014,0.59,1.98,0.48,1.42,"178,945,930"
12/31/2013,0.33,0.99,0.25,0.59,"147,508,925"
12/31/2012,0.07,0.43,0.06,0.33,"30,918,562"
12/30/2011,0.10,0.13,0.07,0.07,"7,067,064"
